name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Paris,France",2023-10-15,13.4,8.5,10.5,13.4,7.2,10,4.3,67.4,0.007,100,4.17,rain,0,0,28.8,15.4,358.2,1024.3,74.9,25.8,31,2.8,2,10,2023-10-15T08:10:23,2023-10-15T19:01:49,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-10-16,13.3,5.3,9,13.3,3.2,7.6,2.1,62.7,0,0,0,,0,0,45.5,22.5,79.4,1020,77.2,25.4,52.3,4.7,3,10,2023-10-16T08:11:55,2023-10-16T18:59:51,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-10-17,16.5,5.6,10.6,16.5,3.4,9.6,5,68.6,0,0,0,,0,0,33.9,15.5,83.3,1012.5,79.6,24.2,23.5,2.1,2,10,2023-10-17T08:13:27,2023-10-17T18:57:54,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,LFPV,07145099999,07153099999,07157099999,C1292,07147099999,LFPO,07150099999,LFPB"
"Paris,France",2023-10-18,18.6,11.2,14.7,18.6,11.2,14.7,11.7,82.4,4.932,100,25,rain,0,0,64.8,24.3,158.7,999.6,91.8,21,12.4,1,1,10,2023-10-18T08:14:59,2023-10-18T18:55:58,0.13,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-10-19,22.3,15.3,17.5,22.3,15.3,17.5,14.2,81.8,0.802,100,16.67,rain,0,0,43.1,22.2,181.2,989.6,90.6,23.2,24.1,2.1,2,10,2023-10-19T08:16:31,2023-10-19T18:54:03,0.17,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-10-20,18.1,13.8,15.2,18.1,13.8,15.2,13.4,89.1,7.356,100,54.17,rain,0,0,39.7,16.7,207.2,980.4,96,18.7,37,3.3,4,10,2023-10-20T08:18:04,2023-10-20T18:52:09,0.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-10-21,15.5,12.2,13.4,15.5,12.2,13.4,10.5,82.7,2.334,100,33.33,rain,0,0,71.7,34.5,214.5,992.9,98.1,20.9,17.5,1.7,1,10,2023-10-21T08:19:37,2023-10-21T18:50:16,0.24,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-10-22,16,10.8,12.9,16,10.8,12.9,10,83.1,0.658,100,45.83,rain,0,0,48.2,20,217.2,1008,83.6,20.2,19,1.6,1,10,2023-10-22T08:21:10,2023-10-22T18:48:24,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-10-23,11.9,8.4,10.5,11.9,7.2,10.1,9.3,91.8,6.378,100,41.67,rain,0,0,32.2,14,125.5,1007.7,88.5,17.1,7.3,0.6,0,10,2023-10-23T08:22:44,2023-10-23T18:46:33,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-10-24,16.3,11.1,12.9,16.3,11.1,12.9,10,83.8,1.256,100,12.5,rain,0,0,35,17.1,216.5,1004.9,82,19.5,32.5,2.8,4,10,2023-10-24T08:24:17,2023-10-24T18:44:43,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-10-25,14.9,11.2,13,14.9,11.2,13,11,87.8,6.723,100,41.67,rain,0,0,45.4,23.1,224.5,996.5,95.7,20.7,23.3,1.9,1,10,2023-10-25T08:25:51,2023-10-25T18:42:54,0.38,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
"Paris,France",2023-10-26,15,10.4,12.9,15,10.4,12.9,11.1,89.1,17.521,100,41.67,rain,0,0,40.2,16.3,209.9,995.8,96.9,13.7,23.6,2,1,10,2023-10-26T08:27:26,2023-10-26T18:41:07,0.41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,C1292,07147099999,07150099999"
